entry,id,tray_number,sample,tray_rep,isolate,test,treatment,label,dpi0,dpi2,dpi3,dpi4,dpi5,dpi6,dpi7,dpi8,dpi9,dpi10
1,1,1,FL58xTJ5,1,21007,17-May,T1,test,0,0,0,1,10,27,35,45,50,52
2,1,2,FL58xTJ5,2,21007,17-May,T1,test,0,0,0,4,20,30,38,40,41,45
3,1,3,FL58xTJ5,3,21007,17-May,T1,test,0,0,0,8,41,62,70,73,75,79
4,1,4,FL58xTJ5,4,21007,17-May,T1,test,0,0,0,1,13,25,35,40,41,45
5,1,5,WhiteCBG,1,21007,17-May,T1,check,0,0,0,0,5,25,35,50,58,60
6,1,6,WhiteCBG,2,21007,17-May,T1,check,0,0,0,0,4,23,26,34,40,50
7,1,7,WhiteCBG,3,21007,17-May,T1,check,0,0,0,0,4,12,26,30,50,58
8,1,8,WhiteCBG,4,21007,17-May,T1,check,0,0,0,1,28,65,77,82,83,86
9,1,9,SweetCaroline,1,21007,17-May,T1,test,0,0,0.5,30,65,78,85,85,85,90
10,1,10,SweetCaroline,2,21007,17-May,T1,test,0,0,5,83,93,94,97,97,98,98
11,1,11,SweetCaroline,3,21007,17-May,T1,test,0,0,1,26,83,93,96,96,96,98
12,1,12,SweetCaroline,4,21007,17-May,T1,test,0,0,2,41,87,98,98,98,99,99
13,1,13,FL58,1,21007,17-May,T1,test,0,0,0,0.5,2,5,10,12,15,NA
14,1,14,FL58,2,21007,17-May,T1,test,0,0,0,7,23,54,80,84,87,91
15,1,15,FL58,3,21007,17-May,T1,test,0,0,0,0,0,2,8,12,14,NA
16,1,16,FL58,4,21007,17-May,T1,test,0,0,0,1,8,21,36,45,50,58
17,1,17,TJsCBD,1,21007,17-May,T1,check,0,0,0,0,7,23,39,46,50,50
18,1,18,TJsCBD,2,21007,17-May,T1,check,0,0,0,12,75,85,90,92,92,93
19,1,19,TJsCBD,3,21007,17-May,T1,check,0,0,0,30,75,80,81,86,86,86
20,1,20,TJsCBD,4,21007,17-May,T1,check,0,0,0,15,41,54,55,60,62,63
21,1,21,FL58xTJ2,1,21007,17-May,T1,test,0,0,0,0,0,1,1,1,2,2
22,1,22,FL58xTJ2,2,21007,17-May,T1,test,0,0,0,2,22,42,68,76,81,84
23,1,23,FL58xTJ2,3,21007,17-May,T1,test,0,0,0,0,3,22,42,50,53,55
24,1,24,FL58xTJ2,4,21007,17-May,T1,test,0,0,0,1,10,27,45,58,60,68
25,1,25,FL58xTJ5,5,21007,17-May,T1,test,0,0,0,1,3,8,12,14,14,15
26,1,26,FL58xTJ5,6,21007,17-May,T1,test,0,0,0,3,20,31,42,45,50,50
27,1,27,FL58xTJ5,7,21007,17-May,T1,test,0,0,0,2,16,35,62,70,76,80
28,1,28,FL58xTJ5,8,21007,17-May,T1,test,0,0,0,10,38,61,77,77,79,80
29,1,29,TJsCBD,5,21007,17-May,T1,check,0,0,0,0,26,56,70,75,75,75
30,1,30,TJsCBD,6,21007,17-May,T1,check,0,0,0,2,38,67,70,75,79,80
31,1,31,TJsCBD,7,21007,17-May,T1,check,0,0,0,20,60,70,86,86,87,88
32,1,32,TJsCBD,8,21007,17-May,T1,check,0,0,0,28,70,80,85,85,90,95
